animal_id,dose_group,event,feature,window,baseline_mean,window_mean,pct_change
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,6.279453913935554,6.0309467179465965,-3.9574650820744592
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,6.279453913935554,4.518544007783141,-28.042405124505315
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,6.279453913935554,4.56697922671447,-27.271076604618568
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,6.279453913935554,9.227591001771277,46.94894059646059
9260,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,6.279453913935554,7.274329052244603,15.843338480455952
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,7.643807691817186,9.543216151416646,24.84898281301355
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,7.643807691817186,6.138741884348575,-19.690000954364752
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,7.643807691817186,4.0689318039976445,-46.76826042662613
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,7.643807691817186,6.312756940808269,-17.4134515764156
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,7.643807691817186,4.956815093021514,-35.15254055478317
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,7.643807691817186,5.004798668318022,-34.52479614739998
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,7.643807691817186,9.968017441886035,30.40643935295431
9261,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,7.643807691817186,8.255349807069052,8.000490591966775
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.48449634852573,7.947398568013002,-6.330343705151738
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.48449634852573,7.295534222264871,-14.013349495606214
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.48449634852573,4.0874709981532416,-51.82423528459078
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,8.48449634852573,5.334957901612518,-37.12110085898589
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,8.48449634852573,4.805520826590936,-43.36115393076991
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,8.48449634852573,4.44556769553451,-47.60363476015905
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,8.48449634852573,9.925455748644408,16.983440630144898
9262,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,8.48449634852573,6.56893104543045,-22.577242353674055
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,5.830303054190186,6.935875494074755,18.96252098062044
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,5.830303054190186,5.239504866622912,-10.133232905323382
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,5.830303054190186,6.05014644379426,3.770702612895465
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,5.830303054190186,5.3399176479110215,-8.410976268664614
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,5.830303054190186,9.507944004622033,63.078040991175556
9263,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,5.830303054190186,7.5414876705371645,29.349839973021048
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,9.814341585303538,6.53075544019598,-33.45701916493874
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,9.814341585303538,4.700166931335202,-52.109197642219264
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,9.814341585303538,5.058086321275082,-48.46229594403661
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,9.814341585303538,5.308895013747352,-45.9067634073676
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,9.814341585303538,9.057675533462575,-7.709799432434982
9264,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,9.814341585303538,5.659031949943905,-42.33915845747606
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,7.228881503588527,6.966363299482011,-3.6315189836241983
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,7.228881503588527,7.6100006134306195,5.272172598940783
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,7.228881503588527,8.589181642625574,18.81757417605716
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,7.228881503588527,4.649795599240161,-35.677523598471886
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,7.228881503588527,9.26321520330099,28.141749158602035
9265,Vehicle,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,7.228881503588527,5.738363298568718,-20.61893260084417
