animal_id,cage_id,date,group,replicate,day,p_lowU
9289,4930,2025-01-28,dose25,Rep2,7,2.7194616557570125e-47
9289,4930,2025-01-29,dose25,Rep2,8,0.7536936276590986
9289,4930,2025-01-30,dose25,Rep2,9,0.9760457521271068
9289,4930,2025-01-31,dose25,Rep2,10,0.9396883040653923
9289,4930,2025-02-01,dose25,Rep2,11,0.9749886048650457
9289,4930,2025-02-02,dose25,Rep2,12,0.9749886048650457
9289,4930,2025-02-03,dose25,Rep2,13,0.9749886048650457
9289,4930,2025-02-04,dose25,Rep2,14,0.9593417520017129
9290,4933,2025-01-23,dose25,Rep2,2,1.3416903713472804e-05
9290,4933,2025-01-24,dose25,Rep2,3,1.0
9290,4933,2025-01-25,dose25,Rep2,4,0.9999872648943283
9290,4933,2025-01-26,dose25,Rep2,5,1.0
9290,4933,2025-01-27,dose25,Rep2,6,0.9999999999999998
9290,4933,2025-01-28,dose25,Rep2,7,0.0008880384751621205
9290,4933,2025-01-29,dose25,Rep2,8,1.0
9290,4933,2025-01-30,dose25,Rep2,9,1.0
9290,4933,2025-01-31,dose25,Rep2,10,1.0
9290,4933,2025-02-01,dose25,Rep2,11,1.0
9290,4933,2025-02-02,dose25,Rep2,12,0.9999999999984082
9290,4933,2025-02-03,dose25,Rep2,13,1.0
9290,4933,2025-02-04,dose25,Rep2,14,1.0
9291,4933,2025-01-23,dose25,Rep2,2,1.0
9291,4933,2025-01-24,dose25,Rep2,3,1.0
9291,4933,2025-01-25,dose25,Rep2,4,1.0
9291,4933,2025-01-26,dose25,Rep2,5,1.0
9291,4933,2025-01-27,dose25,Rep2,6,1.0
9291,4933,2025-01-28,dose25,Rep2,7,2.988864575904959e-05
9291,4933,2025-01-29,dose25,Rep2,8,1.0
9291,4933,2025-01-30,dose25,Rep2,9,0.00031782927278068763
9291,4933,2025-01-31,dose25,Rep2,10,1.0
9291,4933,2025-02-01,dose25,Rep2,11,1.0
9291,4933,2025-02-02,dose25,Rep2,12,1.0
9291,4933,2025-02-03,dose25,Rep2,13,1.0
9291,4933,2025-02-04,dose25,Rep2,14,1.0
9292,4933,2025-01-23,dose25,Rep2,2,1.8945533647061702e-10
9292,4933,2025-01-24,dose25,Rep2,3,0.5494034975651713
9292,4933,2025-01-25,dose25,Rep2,4,7.43637476781423e-05
9292,4933,2025-01-26,dose25,Rep2,5,1.1795577616335687e-12
9292,4933,2025-01-27,dose25,Rep2,6,0.002062267540082302
9292,4933,2025-01-28,dose25,Rep2,7,1.1509322744861225e-05
9292,4933,2025-01-29,dose25,Rep2,8,0.6249527349647752
9292,4933,2025-01-30,dose25,Rep2,9,0.8351761938465331
9292,4933,2025-01-31,dose25,Rep2,10,3.9636492473844426e-32
9292,4933,2025-02-01,dose25,Rep2,11,0.846662057771348
9292,4933,2025-02-02,dose25,Rep2,12,3.775683262568664e-15
9292,4933,2025-02-03,dose25,Rep2,13,5.4637232128822544e-05
9292,4933,2025-02-04,dose25,Rep2,14,9.746848993936086e-05
9239,4917,2025-01-08,dose5,Rep1,2,0.3000352336039
9239,4917,2025-01-09,dose5,Rep1,3,0.07903728133128798
9239,4917,2025-01-10,dose5,Rep1,4,0.9999999204284936
9239,4917,2025-01-11,dose5,Rep1,5,0.9947067299737107
9239,4917,2025-01-12,dose5,Rep1,6,0.9999999999936862
9239,4917,2025-01-13,dose5,Rep1,7,0.015564911297588522
9239,4917,2025-01-14,dose5,Rep1,8,0.9999999702432485
9239,4917,2025-01-15,dose5,Rep1,9,0.9999999999999634
9239,4917,2025-01-16,dose5,Rep1,10,0.9999999999999996
9239,4917,2025-01-17,dose5,Rep1,11,0.017520468796013343
9239,4917,2025-01-18,dose5,Rep1,12,0.9970283826914238
9239,4917,2025-01-19,dose5,Rep1,13,1.0
9239,4917,2025-01-20,dose5,Rep1,14,0.9999999999996401
9239,4917,2025-01-21,dose5,Rep1,15,0.9998585389827046
9239,4917,2025-01-22,dose5,Rep1,16,1.0
9240,4917,2025-01-08,dose5,Rep1,2,0.01010928873770916
9240,4917,2025-01-09,dose5,Rep1,3,0.0020137357975545567
9240,4917,2025-01-10,dose5,Rep1,4,1.0
9240,4917,2025-01-11,dose5,Rep1,5,1.0
9240,4917,2025-01-12,dose5,Rep1,6,1.0
9240,4917,2025-01-13,dose5,Rep1,7,1.0
9240,4917,2025-01-14,dose5,Rep1,8,1.0
9240,4917,2025-01-15,dose5,Rep1,9,1.0
9240,4917,2025-01-16,dose5,Rep1,10,1.0
9240,4917,2025-01-17,dose5,Rep1,11,1.0
9240,4917,2025-01-18,dose5,Rep1,12,1.0
9240,4917,2025-01-19,dose5,Rep1,13,1.0
9240,4917,2025-01-20,dose5,Rep1,14,1.0
9240,4917,2025-01-21,dose5,Rep1,15,1.0
9240,4917,2025-01-22,dose5,Rep1,16,1.0
9241,4917,2025-01-08,dose5,Rep1,2,1.1677374594733384e-06
9241,4917,2025-01-09,dose5,Rep1,3,7.4759380624004315e-06
9241,4917,2025-01-10,dose5,Rep1,4,0.8561207756954382
9241,4917,2025-01-11,dose5,Rep1,5,0.9319405723646004
9241,4917,2025-01-12,dose5,Rep1,6,0.9855266490465157
9241,4917,2025-01-13,dose5,Rep1,7,0.22857075289291318
9241,4917,2025-01-14,dose5,Rep1,8,0.9804469199199501
9241,4917,2025-01-15,dose5,Rep1,9,0.9945578005196241
9241,4917,2025-01-16,dose5,Rep1,10,0.997155483718156
9241,4917,2025-01-17,dose5,Rep1,11,0.9740160964590046
9241,4917,2025-01-18,dose5,Rep1,12,0.9918445974895457
9241,4917,2025-01-19,dose5,Rep1,13,0.9969800691130715
9241,4917,2025-01-20,dose5,Rep1,14,0.9977241245248553
9241,4917,2025-01-21,dose5,Rep1,15,0.9535100039054714
9241,4917,2025-01-22,dose5,Rep1,16,0.08432100930662313
9242,4921,2025-01-08,dose5,Rep1,2,0.009831054057043882
9242,4921,2025-01-09,dose5,Rep1,3,0.18185501520380992
9242,4921,2025-01-10,dose5,Rep1,4,0.017276351807911296
9242,4921,2025-01-11,dose5,Rep1,5,0.16362207897560432
9242,4921,2025-01-12,dose5,Rep1,6,0.8085070196136066
9242,4921,2025-01-13,dose5,Rep1,7,0.10039466606062446
9242,4921,2025-01-14,dose5,Rep1,8,0.17547916490838353
9242,4921,2025-01-15,dose5,Rep1,9,0.4704446502078597
9242,4921,2025-01-16,dose5,Rep1,10,0.025660519169084597
9242,4921,2025-01-17,dose5,Rep1,11,0.028220914129704466
9242,4921,2025-01-18,dose5,Rep1,12,0.9423891398756893
9242,4921,2025-01-19,dose5,Rep1,13,0.9533131029907213
9242,4921,2025-01-20,dose5,Rep1,14,0.060378610177814734
9242,4921,2025-01-21,dose5,Rep1,15,0.04392986166429632
9242,4921,2025-01-22,dose5,Rep1,16,0.9999441170495909
9243,4921,2025-01-08,dose5,Rep1,2,1.0
9243,4921,2025-01-09,dose5,Rep1,3,1.0
9243,4921,2025-01-10,dose5,Rep1,4,1.0
9243,4921,2025-01-11,dose5,Rep1,5,1.0
9243,4921,2025-01-12,dose5,Rep1,6,1.0
9243,4921,2025-01-13,dose5,Rep1,7,0.0019430366304515334
9243,4921,2025-01-14,dose5,Rep1,8,0.008019295429324917
9243,4921,2025-01-15,dose5,Rep1,9,0.0019430366304515334
9243,4921,2025-01-16,dose5,Rep1,10,1.0
9243,4921,2025-01-17,dose5,Rep1,11,0.008843814649233783
9243,4921,2025-01-18,dose5,Rep1,12,1.0
9243,4921,2025-01-19,dose5,Rep1,13,1.0
9243,4921,2025-01-20,dose5,Rep1,14,0.0019430366304515334
9243,4921,2025-01-21,dose5,Rep1,15,1.0
9243,4921,2025-01-22,dose5,Rep1,16,1.0
9244,4921,2025-01-08,dose5,Rep1,2,1.0
9244,4921,2025-01-09,dose5,Rep1,3,0.999996383124301
9244,4921,2025-01-10,dose5,Rep1,4,1.0
9244,4921,2025-01-11,dose5,Rep1,5,1.0
9244,4921,2025-01-12,dose5,Rep1,6,1.0
9244,4921,2025-01-13,dose5,Rep1,7,0.011302626244897312
9244,4921,2025-01-14,dose5,Rep1,8,0.9999999999999996
9244,4921,2025-01-15,dose5,Rep1,9,0.9999978487898621
9244,4921,2025-01-16,dose5,Rep1,10,1.0
9244,4921,2025-01-17,dose5,Rep1,11,0.00048525387957322485
9244,4921,2025-01-18,dose5,Rep1,12,1.0
9244,4921,2025-01-19,dose5,Rep1,13,1.0
9244,4921,2025-01-20,dose5,Rep1,14,1.0
9244,4921,2025-01-21,dose5,Rep1,15,0.9999999999999998
9244,4921,2025-01-22,dose5,Rep1,16,1.0
9245,4925,2025-01-10,dose5,Rep1,4,1.0
9245,4925,2025-01-11,dose5,Rep1,5,4.614223800442221e-06
9245,4925,2025-01-12,dose5,Rep1,6,1.0
9245,4925,2025-01-13,dose5,Rep1,7,1.0
9245,4925,2025-01-14,dose5,Rep1,8,1.0
9245,4925,2025-01-15,dose5,Rep1,9,1.0
9245,4925,2025-01-16,dose5,Rep1,10,1.0
9245,4925,2025-01-17,dose5,Rep1,11,2.0855427631255216e-07
9245,4925,2025-01-18,dose5,Rep1,12,1.0
9245,4925,2025-01-19,dose5,Rep1,13,1.0
9245,4925,2025-01-20,dose5,Rep1,14,1.0
9245,4925,2025-01-21,dose5,Rep1,15,2.0855427631255216e-07
9245,4925,2025-01-22,dose5,Rep1,16,1.0
9246,4925,2025-01-10,dose5,Rep1,4,5.7491131418832934e-06
9246,4925,2025-01-11,dose5,Rep1,5,3.7518365401379804e-05
9246,4925,2025-01-12,dose5,Rep1,6,0.9985485017873672
9246,4925,2025-01-13,dose5,Rep1,7,0.9999559394907108
9246,4925,2025-01-14,dose5,Rep1,8,1.9703111639845654e-16
9246,4925,2025-01-15,dose5,Rep1,9,0.999789365033726
9246,4925,2025-01-16,dose5,Rep1,10,0.9999864645148638
9246,4925,2025-01-17,dose5,Rep1,11,2.6573700311118433e-12
9246,4925,2025-01-18,dose5,Rep1,12,0.9999998950692428
9246,4925,2025-01-19,dose5,Rep1,13,0.9999949721370731
9246,4925,2025-01-20,dose5,Rep1,14,1.162986106450353e-14
9246,4925,2025-01-21,dose5,Rep1,15,1.3192296200797383e-15
9246,4925,2025-01-22,dose5,Rep1,16,0.9999990350993649
9247,4925,2025-01-10,dose5,Rep1,4,1.0
9247,4925,2025-01-11,dose5,Rep1,5,1.0
9247,4925,2025-01-12,dose5,Rep1,6,1.0
9247,4925,2025-01-13,dose5,Rep1,7,1.0
9247,4925,2025-01-14,dose5,Rep1,8,0.0010672581581137024
9247,4925,2025-01-15,dose5,Rep1,9,0.0010672581581137024
9247,4925,2025-01-16,dose5,Rep1,10,0.015178931480535346
9247,4925,2025-01-17,dose5,Rep1,11,0.0010672581581137024
9247,4925,2025-01-18,dose5,Rep1,12,1.0
9247,4925,2025-01-19,dose5,Rep1,13,1.0
9247,4925,2025-01-20,dose5,Rep1,14,0.0010672581581137024
9247,4925,2025-01-21,dose5,Rep1,15,0.0010672581581137024
9247,4925,2025-01-22,dose5,Rep1,16,1.0
9248,4927,2025-01-23,dose5,Rep2,2,0.0
9248,4927,2025-01-24,dose5,Rep2,3,0.0
9248,4927,2025-01-25,dose5,Rep2,4,0.0
9248,4927,2025-01-26,dose5,Rep2,5,0.9999327352453456
9248,4927,2025-01-27,dose5,Rep2,6,0.0
9248,4927,2025-01-28,dose5,Rep2,7,0.0
9248,4927,2025-01-29,dose5,Rep2,8,0.9999327352453456
9248,4927,2025-01-30,dose5,Rep2,9,0.9999327352453456
9248,4927,2025-01-31,dose5,Rep2,10,0.9999327352453456
9248,4927,2025-02-01,dose5,Rep2,11,0.9999327352453456
9248,4927,2025-02-02,dose5,Rep2,12,0.9999327352453456
9248,4927,2025-02-03,dose5,Rep2,13,0.9999327352453456
9248,4927,2025-02-04,dose5,Rep2,14,0.9999327352453456
9249,4927,2025-01-23,dose5,Rep2,2,1.6785686116944217e-25
9249,4927,2025-01-24,dose5,Rep2,3,9.490643097708599e-26
9249,4927,2025-01-25,dose5,Rep2,4,5.656757860236521e-10
9249,4927,2025-01-26,dose5,Rep2,5,3.5574203864707234e-13
9249,4927,2025-01-27,dose5,Rep2,6,7.284006958663064e-17
9249,4927,2025-01-28,dose5,Rep2,7,1.5434686826328461e-77
9249,4927,2025-01-29,dose5,Rep2,8,2.628604671062894e-07
9249,4927,2025-01-30,dose5,Rep2,9,0.9193525532317609
9249,4927,2025-01-31,dose5,Rep2,10,0.8815318351146649
9249,4927,2025-02-01,dose5,Rep2,11,0.6369981769817932
9249,4927,2025-02-02,dose5,Rep2,12,0.8683969397855312
9249,4927,2025-02-03,dose5,Rep2,13,7.600913136655157e-05
9249,4927,2025-02-04,dose5,Rep2,14,0.925248143335467
9256,4927,2025-01-23,dose5,Rep2,2,0.0013930591549098199
